"Name"
"FileAndStorage-Services"
"File-Services"
"FS-FileServer"
"Storage-Services"
"Web-Server"
"Web-WebServer"
"Web-Common-Http"
"Web-Default-Doc"
"Web-Dir-Browsing"
"Web-Http-Errors"
"Web-Static-Content"
"Web-Http-Redirect"
"Web-DAV-Publishing"
"Web-Health"
"Web-Http-Logging"
"Web-Performance"
"Web-Stat-Compression"
"Web-Dyn-Compression"
"Web-Security"
"Web-Filtering"
"Web-Cert-Auth"
"Web-App-Dev"
"Web-Net-Ext"
"Web-Net-Ext45"
"Web-Asp-Net45"
"Web-ISAPI-Ext"
"Web-ISAPI-Filter"
"Web-Mgmt-Tools"
"Web-Mgmt-Console"
"WDS"
"WDS-Deployment"
"WDS-Transport"
"NET-Framework-Features"
"NET-Framework-Core"
"NET-HTTP-Activation"
"NET-Non-HTTP-Activ"
"NET-Framework-45-Features"
"NET-Framework-45-Core"
"NET-Framework-45-ASPNET"
"NET-WCF-Services45"
"NET-WCF-HTTP-Activation45"
"NET-WCF-MSMQ-Activation45"
"NET-WCF-Pipe-Activation45"
"NET-WCF-TCP-Activation45"
"NET-WCF-TCP-PortSharing45"
"Containers"
"MSMQ"
"MSMQ-Services"
"MSMQ-Server"
"RSAT"
"RSAT-Feature-Tools"
"RSAT-SNMP"
"RSAT-Role-Tools"
"RSAT-AD-Tools"
"RSAT-AD-PowerShell"
"RSAT-ADDS"
"RSAT-AD-AdminCenter"
"RSAT-ADDS-Tools"
"RSAT-ADLDS"
"RSAT-Hyper-V-Tools"
"Hyper-V-Tools"
"Hyper-V-PowerShell"
"RSAT-RDS-Tools"
"UpdateServices-RSAT"
"UpdateServices-API"
"UpdateServices-UI"
"WDS-AdminPack"
"FS-SMB1"
"SNMP-Service"
"Telnet-Client"
"Windows-Defender-Features"
"Windows-Defender"
"Windows-Defender-Gui"
"PowerShellRoot"
"PowerShell"
"PowerShell-V2"
"PowerShell-ISE"
"WAS"
"WAS-Process-Model"
"WAS-NET-Environment"
"WAS-Config-APIs"
"WoW64-Support"
